0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.38506767,0.17525786,1.085464,1.1788236,-0.56094396,-2.1334586,-0.5944638,-0.45390308,-0.3818913,0.9281468,-2.7984803,1.2541345,0.27922153,-0.83315295,0.49736834,-0.76983935,-1.9226128,1.1023815,0.9131708,-0.16541831
0.3786274,0.22006956,1.0501478,1.0385156,-0.45867097,-1.9584527,-0.5656351,-0.42762476,-0.47012222,0.820532,-2.6368906,1.0404,0.3482774,-0.77680254,0.3838602,-0.65411043,-1.7886125,0.99546164,0.83081436,-0.24763414
0.37218714,0.26488122,1.0148314,0.8982076,-0.35639793,-1.7834467,-0.5368063,-0.40134645,-0.55835307,0.7129174,-2.4753008,0.8266654,0.41733328,-0.72045225,0.27035207,-0.53838164,-1.6546122,0.88854176,0.74845797,-0.32984996
0.36574686,0.30969292,0.97951514,0.75789964,-0.25412494,-1.6084408,-0.5079775,-0.37506813,-0.646584,0.60530263,-2.3137114,0.61293095,0.48638913,-0.66410184,0.15684392,-0.42265272,-1.5206119,0.7816219,0.66610146,-0.41206577
0.35930657,0.3545046,0.9441989,0.6175917,-0.15185192,-1.4334347,-0.47914875,-0.3487898,-0.7348149,0.497688,-2.1521218,0.39919633,0.555445,-0.6077514,0.043335766,-0.30692384,-1.3866116,0.674702,0.583745,-0.4942816
0.3528663,0.39931625,0.9088826,0.47728366,-0.049578905,-1.2584288,-0.45031995,-0.3225115,-0.82304573,0.39007324,-1.9905319,0.18546182,0.6245009,-0.5514011,-0.07017237,-0.19119501,-1.2526113,0.5677821,0.5013886,-0.57649744
0.346426,0.44412795,0.8735663,0.33697566,0.052694112,-1.0834227,-0.42149118,-0.2962332,-0.91127664,0.28245857,-1.8289423,-0.028272748,0.6935567,-0.4950507,-0.1836805,-0.075466126,-1.118611,0.46086228,0.41903216,-0.6587132
0.33998576,0.4889396,0.83825004,0.19666767,0.1549671,-0.90841675,-0.3926624,-0.2699549,-0.99950755,0.17484385,-1.6673527,-0.24200732,0.7626126,-0.43870035,-0.29718864,0.04026276,-0.9846106,0.3539424,0.3366757,-0.740929
0.33354548,0.5337513,0.8029338,0.05635968,0.25724015,-0.7334107,-0.36383364,-0.24367657,-1.0877384,0.06722912,-1.5057629,-0.45574188,0.8316685,-0.38234994,-0.41069683,0.15599167,-0.8506103,0.24702251,0.25431925,-0.8231449
0.3271052,0.57856303,0.76761746,-0.083948284,0.35951316,-0.55840474,-0.33500487,-0.21739826,-1.1759694,-0.040385574,-1.3441733,-0.66947645,0.90072435,-0.32599956,-0.52420497,0.27172056,-0.71661,0.14010262,0.1719628,-0.9053607
0.3206649,0.62337464,0.7323012,-0.2242563,0.46178615,-0.38339877,-0.30617607,-0.19111994,-1.2642002,-0.14800027,-1.1825836,-0.88321096,0.9697802,-0.26964918,-0.6377131,0.38744938,-0.5826097,0.03318274,0.089606375,-0.9875765
0.31422466,0.6681863,0.6969849,-0.36456427,0.56405914,-0.20839277,-0.2773473,-0.16484164,-1.352431,-0.25561497,-1.020994,-1.0969455,1.0388361,-0.21329881,-0.7512213,0.5031783,-0.44860938,-0.073737115,0.0072499216,-1.0697924
0.30778438,0.71299803,0.6616686,-0.50487226,0.6663322,-0.033386767,-0.24851853,-0.1385633,-1.4406619,-0.3632297,-0.8594043,-1.31068,1.1078919,-0.15694843,-0.8647294,0.61890715,-0.31460908,-0.180657,-0.07510655,-1.1520082
0.3013441,0.7578097,0.6263523,-0.6451802,0.76860523,0.1416192,-0.21968976,-0.112285,-1.5288928,-0.4708444,-0.69781464,-1.5244145,1.1769478,-0.10059805,-0.9782375,0.73463607,-0.18060876,-0.28757685,-0.15746298,-1.2342238
0.2949038,0.80262136,0.591036,-0.78548825,0.8708782,0.31662524,-0.19086096,-0.086006686,-1.6171237,-0.5784591,-0.53622496,-1.7381492,1.2460036,-0.044247672,-1.0917456,0.85036486,-0.046608455,-0.39449674,-0.23981942,-1.3164397
